50002492,4,"Nachtigall und der Rabe, Die",Die Nachtigall und der Rabe,,
50002493,4,"Kindesmörderin, Die",Die Kindesmörderin,,
50002494,4,"Teilung der Erde, Die",Die Teilung der Erde,,
50002500,3,"Flauto magico, Il",Il Flauto magico,1,
50002504,3,"Clavecin, Le",Le Clavecin,1,
50002520,4,"Greis, Der",Der Greis,,
50002531,4,"Bassgeiger zu Wörgl, Der",Der Bassgeiger zu Wörgl,,
50002533,4,"Clock, The",The Clock,1,
50002534,4,"Uhr, Die",Die Uhr,,
50002535,3,"Jeune Henri, Le",Le Jeune Henri,1,
50002536,4,"Jagd Heinrich des IV., Die",Die Jagd Heinrich des IV.,,
50002538,3,"Re pastore, Il",Il Re pastore,1,
50002540,4,"Harmonie der Sphären, Die",Die Harmonie der Sphären,,
50002550,4,"Ostermorgen, Der",Der Ostermorgen,,
50002557,4,"Musik, Die",Die Musik,,
50002558,4,"Befreiung von Jerusalem, Die",Die Befreiung von Jerusalem,,
50002559,4,"Ende des Gerechten, Das",Das Ende des Gerechten,,
50002562,2,"Opéra comique, L'",L'Opéra comique,1,
50002568,4,"Heideröschen, Das",Das Heideröschen,,
50002569,4,"Eisen und der Hammer, Das",Das Eisen und der Hammer,,
50002573,4,"Sonnenfest der Braminen, Das",Das Sonnenfest der Braminen,,
50002579,4,"Waldhorn, Das",Das Waldhorn,,
50002588,4,"Wiener in Berlin, Die",Die Wiener in Berlin,,
50002595,3,"Sotterraneo, Il",Il Sotterraneo,1,
50002597,2,"Fratelli rivali, I",I Fratelli rivali,1,
50002598,4,"Brüder als Nebenbuhler, Die",Die Brüder als Nebenbuhler,,
50002602,4,"Wütende Heer, Das",Das Wütende Heer,1,
50002604,3,"Nouveau seigneur de village, Le",Le Nouveau seigneur de village,1,
50002607,4,"Vater unser, Das",Das Vater unser,,
50002609,4,"Irrlicht, Das",Das Irrlicht,,
50002610,4,"Labyrinth, Das",Das Labyrinth,,
50002611,4,"Kampf mit den Elementen, Der",Der Kampf mit den Elementen,,
50002626,4,"Zéphyrs, Les",Les Zéphyrs,1,
50002627,4,"Songes, Les",Les Songes,1,
50002628,3,"Triomphe de Psyché, Le",Le Triomphe de Psyché,1,
50002629,2,"Enlèvement de Proserpine, L'",L'Enlèvement de Proserpine,1,
50002631,3,"Parfaite indifférence, La",La Parfaite indifférence,1,
50002645,3,"Talismano, Il",Il Talismano,1,
50002647,2,"Isle enchentée, L'",L'Isle enchentée,1,
50002648,3,"Fausse magie, La",La Fausse magie,1,
50002664,2,"Arcadia in Brenta, L'",L'Arcadia in Brenta,,
50002667,3,"Maestra, La",La Maestra,1,
50002670,3,"Fedeltá nelle selve, La",La Fedeltá nelle selve,,La fedeltà nelle selve
50002671,3,"Creduta selvaggia, La",La Creduta selvaggia,1,
50002672,3,"Fedeltá tra le selve, La",La Fedeltá tra le selve,,La fedeltà tra le selve
50002673,3,"Conte Bellezza sul nome di Pantalone, Il",Il Conte Bellezza sul nome di Pantalone,1,
50002674,3,"Precauzione inutile, La",La Precauzione inutile,1,
50002675,3,"Negligente, Il",Il Negligente,1,
50002679,2,"Ignorante astuto, L'",L'Ignorante astuto,1,
50002680,3,"Sposa fidele, La",La Sposa fidele,1,
50002682,2,"Agriselda, L'",L'Agriselda,,
50002684,2,"Armida, L'",L'Armida,,
50002692,3,"Nozze campestri, Le",Le Nozze campestri,1,
50002693,3,"Pietá d'amore, La",La Pietá d'amore,,La pietà d'amore
50002695,3,"Parnaso confuso, Il",Il Parnaso confuso,,
