50007004	30022250		NULL	Salem, Zisterzienserkloster
50007006	30022254		NULL	Engelberg, Schule
50007007	30022259		NULL	Sarnen, S Andreas
50007008	30022343		NULL	Weingarten, Kloster
50007009	30022346		NULL	Basel, Collegium musicum
50007012	30022433		NULL	Fahr, Frauenkloster
50007014	30022448		NULL	Frauenthal, Kloster
50007016	30022473		NULL	Ottobeuren, Chor
50007017	30022523		NULL	Engelberg, Kloster
50007076	30022523		NULL	Engelberg
50007018	30022540		NULL	Altdorf, Chor
50007019	30022674		NULL	Petershausen, Kloster S Gregor
50007020	30022681		NULL	Chor Pethrusianum
50007021	30022701		NULL	Solothurn, Jesuitenkollegium
50007022	30022750		NULL	Muri, Chor
50007024	30022755		NULL	Rychenberg-Stiftung
50007025	30022756		NULL	Gnadenthal, Chor
50007026	30022759		NULL	Solothurn, Kathedrale S Urs
50007027	30022965		NULL	Rheinfelden, Choro S Martini
50007028	30022966		NULL	Stift St. Martin
50007029	30022967		NULL	Solothurn, Franziskaner-Bibliothek
50007030	30022970		NULL	Sankt Gallen, Stiftskirche
50007031	30022983		NULL	Sankt Gallen, Katholisches Institut
50007064	30023002		NULL	Zug, Kirchenchor S Michael
50007032	30023005		NULL	Firenze, Archivo Gran Ducale
50007033	30023021		NULL	Puzzi-Sammlung
50007034	30023022		NULL	Sankt Gallen, Kloster
50007035	30023027		NULL	Chor S Nicolai
50007037	30023028		NULL	Ettenheimmünster, Chor
50007038	30023029		NULL	Fribourg, Chorus Ettonianus
50007039	30023030		NULL	Fribourg, Chorus Eccl. St. Nicol.
50007065	30023034		NULL	Zug, Chor
50007066	30023035		NULL	Zug, Kirchenchorarchiv S Michael
50007067	30023037		NULL	Zug, Theater- und Musikgesellschaft
50007068	30023038		NULL	Zug, Cäcilienverein S Michael
50007069	30023039		NULL	Zug, Kirchgemeinde S Michael
50007070	30023040		NULL	Luzern, Stiftschor S Leodegar
50007040	30023041		NULL	Zug, Cäcilienverein
50007071	30023050		NULL	Zug, Kirche
50007072	30023055		NULL	Zug, Kirchgemeinde
50007041	30023058		NULL	Frauenthal, Zisterzienserinnenkloster
50007078	30023064		NULL	Wurmsbach, Archiv Mariazell
50007080	30023147		NULL	Magdenau, Zisterzienserinnenkloster
50007081	30023154		NULL	Frauenthal, Zisterzienserkloster
50007082	30023179		NULL	Altdorf, Pfarrkirche
50007084	30023221		NULL	Fribourg, Kathedrale S Nicolas
50007085	30023222		NULL	Solothurn, Lehrerseminar
50007042	30023233		NULL	Sankt Gallen, Katholischer Administrationsrat
50007043	30023237		NULL	Eschenbach, Monasterium Chorus
50007086	30023261		NULL	Cham, Cäcilienverein
50007046	30023262		NULL	Gnadenthal, Gemeindechor
50007186	30023263		NULL	Gemeindechor, Wettingen
50007047	30023264		NULL	Luzern, Bürgerbibliothek
50007049	30023297		NULL	Schloß Hünigen
50007050	30023298		NULL	Schloß Wildegg
50007051	30023299		NULL	Müllers Musikalien-Leihe-Bibiliothek
50007073	30023302		NULL	Weesen, Kloster
50007075	30023303		NULL	Petershausen, Monasterium S Gregorii Chorus
50007052	30023304		NULL	Münsterlingen, Monasterium Chorus
50007053	30023319		NULL	Winterthur, Musik-Collegium
50007090	30023320		NULL	Winterthur, Cäcilienverein
50007056	30023336		NULL	Zürich, Bibliothek Tonhalle
50007054	30023337		NULL	Zürich, Direktion des Stadttheaters
50007055	30023338		NULL	Zürich, Theater Actiengesellschaft
50007092	30023362		NULL	Zürich, Künstler-Vereinigung
50007057	30023363		NULL	Solothurn, Musik-Schule des Cantons
50007094	30023367		NULL	Solothurn, Cäcilienverein
50007058	30023370		NULL	Basel, Universitätsbibliothek
50007095	30023383		NULL	Solothurn, Musikbibliothek der Kantonsschule
50007060	30023389		NULL	Basel, Bibliothek Stadttheater
50007097	30023391		NULL	Vevey, Société d'orchestre
50007098	30023392		NULL	Vevey, Choeur des Dames
50007099	30023394		NULL	Vevey, Société Chorale
50007102	30023396		NULL	Sankt Gallen, Domchor
50007378	30023396		NULL	Domchor Sankt Gallen
50007062	30023407		NULL	Sankt Gallen, Kantonsschule
50007103	30023408		NULL	Sankt Gallen, Kathedrale
50007104	30023410		NULL	Sankt Gallen, Liedertafel
50007105	30023411		NULL	Sankt Gallen, Gesellschaft zum Frohsinn
50007101	30023427		NULL	Sankt Gallen, Domchor, Cäcilienverein
50007106	30023446		NULL	Sankt Gallen, Männerchor-Domchor
50007107	30023449		NULL	Basel, Gymnasiasten-Verein
50007089	30023450		NULL	Bellenz, Benediktiner Gymnasium
50006804	30052729		I-CALf	Franziskanerkloster
50007382	30060910		NULL	Amerikanischer Cäcilienverein
50007952	30061095		NULL	Imprimerie Moucelot
50007581	40009858		NULL	Schott, A., Antwerpen
50006446	30061505		H-Bmàg	Mûemlékek Állami Gondnoksàga
50006451	30061510		PL-ŚLj	Święta Lipka - Sanktuarium Maryjne
50006515	30061577		MEX-Msaldívar	Dr. Gabriel Saldívar, private collection
50007015	30063674		NULL	Zürich, Allgemeine Musikgesellschaft
50007534	30070178		NULL	Singverein Karlsruhe
