"id","ext_id","full_name"
35099,51035099,"Duenas"
35100,51035100,"Baltin"
35101,51035101,"Cambier"
35102,51035102,"Anné, frater"
35103,51035103,"de Bleu, Michiel"
35111,51035111,"Meij, de"
35112,51035112,"Bleu, Michiel De"
35113,51035113,"Guislain"
35114,51035114,"Le Teneur"
35115,51035115,"Eve, d'"
35116,51035116,"Sabbattino"
35118,51035118,"Colvenerio"
35119,51035119,"Chafton"
35120,51035120,"Colombina, Pietro"
35122,51035122,"Argentini, Stefano"
35123,51035123,"Fontana Morello, Giovanni Stefano"
35124,51035124,"Fontana, Michelangelo"
35125,51035125,"Offner, Johann Jakob"
35126,51035126,"Poscentio, Peregrino"
35127,51035127,"Serperio, Francesco"
35128,51035128,"Widerstain, Sebastian"
35129,51035129,"Zanetto, Zaccaria"
35130,51035130,"Schenk, Johannes"
35131,51035131,"Masson, Charles"
35132,51035132,"Saint Lambert, de"
